96																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
104		28	二	36	13	17	2	27	31	2	13	17	27	31	36	18
105		31	五	9	4	39	38	27	36	4	9	27	36	38	39	2
																
																
																
																
100																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
1	1	4	二	19	14	37	23	47	35	14	19	23	35	37	47	42
2		7	五	34	35	13	47	11	49	11	13	34	35	47	49	20
3		11	二	7	12	20	11	14	10	7	10	11	12	14	20	41
4		14	五	20	32	39	16	17	45	16	17	20	32	39	45	46
5		18	二	15	40	42	38	47	46	15	38	40	42	46	47	17
6		21	五	39	32	43	36	37	2	2	32	36	37	39	43	3
7		25	二	12	39	21	31	13	17	12	13	17	21	31	39	20
8		28	五	18	3	42	24	13	4	3	4	13	18	24	42	47
9	2	1	二	6	17	25	42	40	1	1	6	17	25	40	42	15
10		4	五	10	49	47	42	41	33	10	33	41	42	47	49	3
11		8	二	31	39	5	6	23	41	5	6	23	31	39	41	16
12		11	五	36	3	45	34	7	4	3	4	7	34	36	45	24
13		15	二	9	15	24	35	33	12	9	12	15	24	33	35	18
14		18	五	20	23	38	37	14	26	14	20	23	26	37	38	33
15		22	二	32	35	20	15	13	39	13	15	20	32	35	39	11
16		25	五	2	28	44	36	20	3	2	3	20	28	36	44	21
17	3	1	二	3	14	27	8	48	31	3	8	14	27	31	48	23
18		4	五	23	27	22	16	12	18	12	16	18	22	23	27	41
19		8	二	47	25	24	6	1	32	1	6	24	25	32	47	38
20		11	五	11	42	13	21	22	5	5	11	13	21	22	42	25
21		15	二	41	19	28	30	29	4	4	19	28	29	30	41	10
22		18	五	3	15	37	30	23	36	3	15	23	30	36	37	28
23		22	二	20	24	47	36	6	8	6	8	20	24	36	47	27
24		25	五	43	48	18	39	1	35	1	18	35	39	43	48	2
25		29	二	10	18	12	22	4	40	4	10	12	18	22	40	24
26	4	1	五	32	35	30	20	14	43	14	20	30	32	35	43	33
27		5	二	20	29	24	28	8	10	8	10	20	24	28	29	32
28		8	五	9	38	10	23	37	29	9	10	23	29	37	38	44
29		12	二	24	6	29	33	4	14	4	6	14	24	29	33	45
30		15	五	47	37	42	28	38	15	15	28	37	38	42	47	33
31		19	二	47	22	46	35	41	37	22	35	37	41	46	47	24
32		22	五	46	26	22	4	36	21	4	21	22	26	36	46	41
33		26	二	37	41	39	40	45	20	20	37	39	40	41	45	8
34		29	五	17	7	22	23	1	16	1	7	16	17	22	23	19
35	5	3	二	18	15	24	28	10	43	10	15	18	24	28	43	35
36		6	五	22	24	36	44	23	6	6	22	23	24	36	44	3
																
100																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
37	5	10	二	25	38	5	12	42	35	5	12	25	35	38	42	28
38		13	五	19	29	42	36	16	21	16	19	21	29	36	42	10
39		17	二	1	3	48	11	26	15	1	3	11	15	26	48	28
40		20	五	42	33	34	2	47	44	2	33	34	42	44	47	10
41		24	二	24	16	25	19	1	26	1	16	19	24	25	26	21
42		27	五	48	10	43	5	32	24	5	10	24	32	43	48	4
43		31	二	43	32	38	5	9	15	5	9	15	32	38	43	12
44	6	3	五	12	8	15	13	46	35	8	12	13	15	35	46	30
45		7	二	39	3	31	22	27	8	3	8	22	27	31	39	14
46		10	五	29	6	37	10	41	19	6	10	19	29	37	41	9
47		14	二	33	21	31	17	48	5	5	17	21	31	33	48	25
48		17	五	1	2	31	19	47	48	1	2	19	31	47	48	36
49		21	二	46	10	1	13	40	42	1	10	13	40	42	46	41
50		24	五	38	11	27	21	19	39	11	19	21	27	38	39	24
51		28	二	33	27	13	11	15	23	11	13	15	23	27	33	4
52	7	1	五	9	49	23	44	31	25	9	23	25	31	44	49	2
53		5	二	15	2	28	1	32	18	1	2	15	18	28	32	26
54		8	五	43	37	47	16	18	35	16	18	35	37	43	47	7
55		12	二	24	41	8	31	35	37	8	24	31	35	37	41	19
56		15	五	43	49	23	30	27	17	17	23	27	30	43	49	31
57		19	二	17	37	20	47	49	2	2	17	20	37	47	49	36
58		22	五	8	22	6	4	5	38	4	5	6	8	22	38	42
59		26	二	2	8	29	36	35	13	2	8	13	29	35	36	14
60		29	五	19	38	46	28	6	37	6	19	28	37	38	46	42
61	8	2	二	27	17	45	24	42	28	17	24	27	28	42	45	31
62		5	五	3	28	25	49	24	20	3	20	24	25	28	49	30
63		9	二	49	25	27	33	38	40	25	27	33	38	40	49	12
64		12	五	12	22	45	2	40	14	2	12	14	22	40	45	4
65		16	二	43	42	26	38	30	37	26	30	37	38	42	43	32
66		19	五	32	41	18	30	13	48	13	18	30	32	41	48	45
67		23	二	42	29	23	32	5	36	5	23	29	32	36	42	14
68		26	五	10	31	45	33	32	43	10	31	32	33	43	45	30
69		30	二	48	26	36	37	10	12	10	12	26	36	37	48	34
70	9	2	五	30	5	35	22	24	2	2	5	22	24	30	35	42
71		6	二	41	29	38	23	9	2	2	9	23	29	38	41	8
72		9	五	12	8	15	36	1	47	1	8	12	15	36	47	10
																
100																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
73	9	13	二	11	48	2	41	8	38	2	8	11	38	41	48	18
74		16	五	48	28	23	36	30	15	15	23	28	30	36	48	45
75		20	二	28	25	27	34	2	37	2	25	27	28	34	37	42
76		23	五	27	23	16	14	44	28	14	16	23	27	28	44	40
77		27	二	9	42	23	3	26	31	3	9	23	26	31	42	41
78		30	五	10	44	11	34	48	24	10	11	24	34	44	48	31
79	10	4	二	8	49	29	26	15	2	2	8	15	26	29	49	3
80		7	五	1	30	16	6	13	33	1	6	13	16	30	33	3
81		11	二	6	34	18	43	2	33	2	6	18	33	34	43	28
82		14	五	7	26	23	39	8	21	7	8	21	23	26	39	28
83		18	二	46	19	44	32	8	4	4	8	19	32	44	46	21
84		21	五	20	35	33	43	41	34	20	33	34	35	41	43	4
85		25	二	2	5	33	28	44	24	2	5	24	28	33	44	4
86		28	五	24	5	33	36	27	15	5	15	24	27	33	36	1
87	11	1	二	21	4	7	29	13	14	4	7	13	14	21	29	22
88		4	五	21	14	8	7	2	38	2	7	8	14	21	38	11
89		8	二	2	40	39	11	35	22	2	11	22	35	39	40	36
90		11	五	36	29	20	19	4	32	4	19	20	29	32	36	30
91		15	二	46	21	42	35	12	19	12	19	21	35	42	46	40
92		18	五	12	11	16	10	45	15	10	11	12	15	16	45	19
93		22	二	40	37	46	41	21	16	16	21	37	40	41	46	27
94		25	五	10	43	30	8	36	27	8	10	27	30	36	43	48
95		29	二	7	1	35	36	11	14	1	7	11	14	35	36	10
96	12	2	五	23	39	45	31	37	27	23	27	31	37	39	45	6
97		6	二	38	14	18	3	13	22	3	13	14	18	22	38	6
98		9	五	37	38	40	45	39	10	10	37	38	39	40	45	18
99		13	二	48	23	36	2	30	44	2	23	30	36	44	48	24
100		16	五	41	31	10	36	44	35	10	31	35	36	41	44	34
101		20	二	26	7	34	9	5	27	5	7	9	26	27	34	8
102		23	五	40	17	27	31	6	48	6	17	27	31	40	48	28
103		27	二	1	8	30	23	32	24	1	8	23	24	30	32	14
104		30	五	15	28	37	13	12	30	12	13	15	28	30	37	3
																
																
																
																
																
101																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
1	1	3	二	34	9	26	19	38	40	9	19	26	34	38	40	37
2		6	五	14	41	23	10	35	46	10	14	23	35	41	46	19
3		10	二	3	21	47	27	23	45	3	21	23	27	45	47	40
4		13	五	48	36	46	22	42	43	22	36	42	43	46	48	21
5		17	二	22	4	42	46	10	35	4	10	22	35	42	46	32
6		20	五	22	44	30	39	10	12	10	12	22	30	39	44	9
7		24	二	29	21	44	8	38	45	8	21	29	38	44	45	20
8		27	五	40	20	34	21	22	3	3	20	21	22	34	40	44
9		31	二	11	19	15	33	14	1	1	11	14	15	19	33	42
10	2	3	五	8	34	32	5	20	35	5	8	20	32	34	35	17
11		7	二	33	41	27	7	22	39	7	22	27	33	39	41	13
12		10	五	43	16	41	29	19	5	5	16	19	29	41	43	37
13		14	二	21	45	2	11	33	19	2	11	19	21	33	45	40
14		17	五	15	30	26	38	44	14	14	15	26	30	38	44	19
15		21	二	42	32	39	46	21	2	2	21	32	39	42	46	19
16		24	五	17	43	2	15	6	13	2	6	13	15	17	43	4
17		28	二	30	47	36	43	2	32	2	30	32	36	43	47	49
18	3	2	五	15	6	45	31	2	21	2	6	15	21	31	45	24
19		6	二	25	20	2	5	17	48	2	5	17	20	25	48	14
20		9	五	45	21	48	41	44	10	10	21	41	44	45	48	32
21		13	二	6	47	24	48	49	46	6	24	46	47	48	49	40
22		16	五	27	26	43	28	30	31	26	27	28	30	31	43	8
23		20	二	13	7	5	26	46	4	4	5	7	13	26	46	24
24		23	五	36	31	43	37	44	22	22	31	36	37	43	44	11
25		27	二	27	29	28	16	23	18	16	18	23	27	28	29	19
26		30	五	21	38	28	1	20	36	1	20	21	28	36	38	30
27	4	3	二	44	23	47	8	39	22	8	22	23	39	44	47	36
28		6	五	36	4	37	5	40	14	4	5	14	36	37	40	25
29		10	二	33	6	31	42	27	19	6	19	27	31	33	42	13
30		13	五	20	9	35	4	1	25	1	4	9	20	25	35	43
31		17	二	23	26	43	31	19	25	19	23	25	26	31	43	10
32		20	五	48	25	44	3	2	45	2	3	25	44	45	48	31
33		24	二	39	47	9	21	19	14	9	14	19	21	39	47	11
34		27	五	35	40	45	22	13	24	13	22	24	35	40	45	37
35	5	1	二	7	43	21	22	5	31	5	7	21	22	31	43	4
36		4	五	17	31	23	39	4	11	4	11	17	23	31	39	14
																
101																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
37	5	8	二	6	29	23	30	25	24	6	23	24	25	29	30	47
38		11	五	37	30	33	22	10	29	10	22	29	30	33	37	27
39		15	二	44	35	30	49	47	1	1	30	35	44	47	49	46
40		18	五	13	31	23	46	25	39	13	23	25	31	39	46	41
41		22	二	13	1	28	18	8	49	1	8	13	18	28	49	6
42		25	五	1	22	33	40	26	17	1	17	22	26	33	40	11
43		29	二	49	46	38	5	22	43	5	22	38	43	46	49	13
44	6	1	五	4	44	39	34	18	31	4	18	31	34	39	44	49
45		5	二	11	49	16	40	13	35	11	13	16	35	40	49	39
46		8	五	49	46	45	24	9	1	1	9	24	45	46	49	12
47		12	二	29	21	40	35	3	33	3	21	29	33	35	40	45
48		15	五	47	23	15	9	38	49	9	15	23	38	47	49	36
49		19	二	26	5	19	1	46	17	1	5	17	19	26	46	47
50		22	五	28	36	24	6	44	38	6	24	28	36	38	44	8
51		26	二	1	7	16	41	6	12	1	6	7	12	16	41	49
52		29	五	9	30	36	11	39	45	9	11	30	36	39	45	26
53	7	3	二	49	41	34	11	18	21	11	18	21	34	41	49	47
54		6	五	18	31	4	11	27	19	4	11	18	19	27	31	24
55		10	二	16	41	3	26	31	28	3	16	26	28	31	41	45
56		13	五	46	15	28	8	35	41	8	15	28	35	41	46	11
57		17	二	25	30	37	19	17	22	17	19	22	25	30	37	31
58		20	五	41	11	44	34	22	14	11	14	22	34	41	44	27
59		24	二	24	11	39	5	21	37	5	11	21	24	37	39	13
60		27	五	22	5	27	7	34	9	5	7	9	22	27	34	45
61		31	二	24	33	44	28	1	43	1	24	28	33	43	44	31
62	8	3	五	14	44	27	13	18	29	13	14	18	27	29	44	21
63		7	二	12	29	28	43	47	23	12	23	28	29	43	47	26
64		10	五	1	24	26	14	3	45	1	3	14	24	26	45	38
65		14	二	19	27	2	38	31	49	2	19	27	31	38	49	32
66		17	五	43	38	39	48	47	7	7	38	39	43	47	48	29
67		21	二	29	40	46	44	47	6	6	29	40	44	46	47	33
68		24	五	35	43	7	42	34	47	7	34	35	42	43	47	29
69		28	二	6	30	38	3	41	1	1	3	6	30	38	41	46
70		31	五	28	36	45	34	31	18	18	28	31	34	36	45	42
71	9	4	二	32	48	36	40	10	21	10	21	32	36	40	48	9
72		7	五	19	44	7	17	24	30	7	17	19	24	30	44	31
																
101																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
73	9	11	二	21	3	31	30	48	4	3	4	21	30	31	48	15
74		14	五	32	33	20	37	38	31	20	31	32	33	37	38	39
75		18	二	48	39	12	13	18	44	12	13	18	39	44	48	35
76		21	五	29	37	42	36	22	30	22	29	30	36	37	42	9
77		25	二	35	19	49	18	45	34	18	19	34	35	45	49	16
78		28	五	42	22	6	47	41	4	4	6	22	41	42	47	18
79	10	2	二	7	1	28	3	9	40	1	3	7	9	28	40	45
80		5	五	18	9	44	17	33	47	9	17	18	33	44	47	8
81		9	二	30	8	41	18	31	15	8	15	18	30	31	41	45
82		12	五	11	48	43	5	30	12	5	11	12	30	43	48	15
83		16	二	35	3	28	45	2	44	2	3	28	35	44	45	36
84		19	五	39	45	25	13	49	27	13	25	27	39	45	49	11
85		23	二	46	25	20	2	19	7	2	7	19	20	25	46	43
86		26	五	20	41	32	17	28	1	1	17	20	28	32	41	13
87		30	二	20	25	14	36	46	10	10	14	20	25	36	46	2
88	11	2	五	24	38	36	4	37	18	4	18	24	36	37	38	31
89		6	二	8	47	13	42	48	41	8	13	41	42	47	48	29
90		9	五	37	31	45	38	9	25	9	25	31	37	38	45	21
91		13	二	2	11	22	31	25	14	2	11	14	22	25	31	26
92		16	五	42	33	32	18	17	41	17	18	32	33	41	42	12
93		20	二	23	24	27	6	34	20	6	20	23	24	27	34	16
94		23	五	4	3	46	18	14	2	2	3	4	14	18	46	25
95		27	二	31	13	9	18	19	5	5	9	13	18	19	31	32
96		30	五	37	31	18	26	43	5	5	18	26	31	37	43	8
97	12	4	二	43	29	23	2	41	30	2	23	29	30	41	43	16
98		7	五	23	8	28	11	19	13	8	11	13	19	23	28	49
99		11	二	44	5	12	38	22	14	5	12	14	22	38	44	25
100		14	五	8	49	28	11	17	21	8	11	17	21	28	49	37
101		18	二	7	15	10	44	19	5	5	7	10	15	19	44	49
102		21	五	13	25	31	48	22	17	13	17	22	25	31	48	26
103		25	二	41	18	25	32	47	12	12	18	25	32	41	47	7
104		28	五	28	37	18	14	42	5	5	14	18	28	37	42	19
																
																
																
																
																
102																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
1	1	1	二	4	3	32	33	22	49	3	4	22	32	33	49	21
2		4	五	35	7	24	1	31	47	1	7	24	31	35	47	21
3		8	二	19	14	33	6	5	27	5	6	14	19	27	33	31
4		11	五	48	44	33	10	1	24	1	10	24	33	44	48	37
5		15	二	32	8	34	2	44	46	2	8	32	34	44	46	14
6		18	五	33	46	30	27	22	37	22	27	30	33	37	46	24
7		22	二	31	14	47	2	23	25	2	14	23	25	31	47	48
8		25	五	18	2	48	11	49	4	2	4	11	18	48	49	38
9		28	二	3	31	43	7	34	32	3	7	31	32	34	43	41
10	2	1	五	46	39	28	1	26	37	1	26	28	37	39	46	3
11		5	二	25	19	38	8	15	30	8	15	19	25	30	38	6
12		8	五	22	26	47	38	4	11	4	11	22	26	38	47	13
13		9	六	22	11	5	17	30	34	5	11	17	22	30	34	10
14		10	日	12	10	21	35	9	31	9	10	12	21	31	35	19
15		11	一	16	46	40	45	48	6	6	16	40	45	46	48	31
16		12	二	27	38	13	3	19	24	3	13	19	24	27	38	40
17		15	五	8	30	34	17	2	40	2	8	17	30	34	40	26
18		19	二	40	28	24	7	23	32	7	23	24	28	32	40	8
19		22	五	28	9	7	35	17	25	7	9	17	25	28	35	36
20		26	二	30	36	39	21	8	15	8	15	21	30	36	39	17
21	3	1	五	36	34	1	26	37	35	1	26	34	35	36	37	7
22		5	二	36	5	38	24	35	30	5	24	30	35	36	38	11
23		8	五	16	12	29	45	44	13	12	13	16	29	44	45	30
24		12	二	20	47	49	46	35	16	16	20	35	46	47	49	31
25		15	五	23	5	37	13	43	44	5	13	23	37	43	44	26
26		19	二	40	25	1	12	37	39	1	12	25	37	39	40	18
27		22	五	30	23	24	5	13	7	5	7	13	23	24	30	1
28		26	二	39	28	1	42	20	9	1	9	20	28	39	42	47
29		29	五	3	46	2	8	24	15	2	3	8	15	24	46	36
30	4	2	二	11	20	35	26	23	15	11	15	20	23	26	35	31
31		5	五	21	17	4	35	7	13	4	7	13	17	21	35	33
32		9	二	45	35	48	7	47	16	7	16	35	45	47	48	39
33		12	五	32	22	1	29	3	18	1	3	18	22	29	32	21
34		16	二	18	45	6	48	40	43	6	18	40	43	45	48	24
35		19	五	48	37	42	36	40	3	3	36	37	40	42	48	17
36		23	二	45	36	29	12	15	31	12	15	29	31	36	45	40
																
102																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
37	4	26	五	17	40	19	30	15	47	15	17	19	30	40	47	25
38		30	二	32	46	37	30	47	10	10	30	32	37	46	47	16
39	5	3	五	45	32	4	22	1	8	1	4	8	22	32	45	2
40		7	二	35	14	11	25	33	9	9	11	14	25	33	35	2
41		10	五	43	39	25	2	32	17	2	17	25	32	39	43	34
42		14	二	1	30	27	39	7	6	1	6	7	27	30	39	21
43		17	五	24	22	16	23	10	5	5	10	16	22	23	24	31
44		21	二	39	35	42	49	29	24	24	29	35	39	42	49	48
45		24	五	28	10	41	27	31	37	10	27	28	31	37	41	34
46		28	二	17	43	16	30	7	10	7	10	16	17	30	43	23
47		31	五	44	3	33	39	6	10	3	6	10	33	39	44	37
48	6	4	二	14	46	43	19	34	47	14	19	34	43	46	47	42
49		7	五	39	14	29	33	3	48	3	14	29	33	39	48	22
50		11	二	46	34	49	20	16	42	16	20	34	42	46	49	4
51		14	五	35	47	22	4	16	32	4	16	22	32	35	47	43
52		18	二	41	36	11	4	43	25	4	11	25	36	41	43	27
53		21	五	41	35	39	29	10	44	10	29	35	39	41	44	7
54		25	二	34	18	26	28	38	7	7	18	26	28	34	38	5
55		28	五	26	31	49	22	44	42	22	26	31	42	44	49	29
56	7	2	二	5	44	1	21	18	40	1	5	18	21	40	44	22
57		5	五	45	40	28	39	11	14	11	14	28	39	40	45	42
58		9	二	43	41	29	28	19	24	19	24	28	29	41	43	37
59		12	五	48	47	29	34	24	15	15	24	29	34	47	48	31
60		16	二	13	31	16	29	10	37	10	13	16	29	31	37	32
61		19	五	5	3	15	9	49	30	3	5	9	15	30	49	48
62		23	二	17	35	24	27	49	4	4	17	24	27	35	49	39
63		26	五	34	17	8	39	21	45	8	17	21	34	39	45	44
64		30	二	43	6	22	15	45	16	6	15	16	22	43	45	48
65	8	2	五	43	7	44	45	46	27	7	27	43	44	45	46	35
66		6	二	27	17	48	32	4	1	1	4	17	27	32	48	6
67		9	五	12	13	4	3	24	30	3	4	12	13	24	30	9
68		13	二	14	48	37	34	16	12	12	14	16	34	37	48	7
69		16	五	24	40	29	17	27	4	4	17	24	27	29	40	9
70		20	二	49	31	16	28	7	5	5	7	16	28	31	49	34
71		23	五	12	11	5	14	31	35	5	11	12	14	31	35	26
72		27	二	11	8	15	5	36	14	5	8	11	14	15	36	46
																
102																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
73	8	30	五	21	36	2	46	27	24	2	21	24	27	36	46	5
74	9	3	二	39	29	48	22	13	11	11	13	22	29	39	48	45
75		6	五	14	7	48	33	6	36	6	7	14	33	36	48	18
76		10	二	42	14	34	1	10	47	1	10	14	34	42	47	9
77		13	五	16	28	26	27	45	12	12	16	26	27	28	45	6
78		17	二	46	40	8	1	17	19	1	8	17	19	40	46	15
79		20	五	47	12	6	39	28	19	6	12	19	28	39	47	36
80		24	二	15	23	7	35	9	34	7	9	15	23	34	35	41
81		27	五	1	18	38	46	12	19	1	12	18	19	38	46	2
82	10	1	二	46	1	17	23	14	4	1	4	14	17	23	46	41
83		4	五	12	25	28	18	7	48	7	12	18	25	28	48	46
84		8	二	4	6	26	31	7	11	4	6	7	11	26	31	38
85		11	五	32	37	2	46	49	10	2	10	32	37	46	49	28
86		15	二	20	13	22	16	28	8	8	13	16	20	22	28	49
87		18	五	9	17	39	43	11	40	9	11	17	39	40	43	46
88		22	二	8	39	32	23	7	16	7	8	16	23	32	39	22
89		25	五	35	11	36	8	3	10	3	8	10	11	35	36	39
90		29	二	21	42	4	39	30	1	1	4	21	30	39	42	44
91	11	1	五	31	6	16	36	26	46	6	16	26	31	36	46	9
92		5	二	27	46	37	12	3	29	3	12	27	29	37	46	17
93		8	五	30	28	1	39	3	33	1	3	28	30	33	39	34
94		12	二	22	12	29	23	46	3	3	12	22	23	29	46	33
95		15	五	43	31	2	18	36	4	2	4	18	31	36	43	8
96		19	二	33	35	16	46	36	15	15	16	33	35	36	46	21
97		22	五	9	8	40	47	11	24	8	9	11	24	40	47	33
98		26	二	15	20	10	11	21	1	1	10	11	15	20	21	26
99		29	五	2	19	30	31	8	13	2	8	13	19	30	31	20
100	12	3	二	44	10	8	38	17	49	8	10	17	38	44	49	40
101		6	五	8	6	4	10	36	15	4	6	8	10	15	36	13
102		10	二	6	34	49	11	27	42	6	11	27	34	42	49	21
103		13	五	16	41	10	48	26	28	10	16	26	28	41	48	42
104		17	二	28	14	1	9	4	22	1	4	9	14	22	28	20
105		20	五	25	8	17	9	14	45	8	9	14	17	25	45	27
106		24	二	21	9	33	36	24	43	9	21	24	33	36	43	3
107		27	五	16	31	43	39	2	12	2	12	16	31	39	43	18
108		31	二	27	36	42	40	29	5	5	27	29	36	40	42	35
																
103																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
1	1	3	五	11	35	21	18	37	20	11	18	20	21	35	37	8
2		7	二	1	7	25	36	21	35	1	7	21	25	35	36	39
3		10	五	7	19	17	30	37	32	7	17	19	30	32	37	3
4		14	二	11	49	2	45	41	21	2	11	21	41	45	49	26
5		17	五	20	29	13	15	26	36	13	15	20	26	29	36	37
6		21	二	22	43	12	44	38	15	12	15	22	38	43	44	9
7		24	五	4	20	29	41	45	1	1	4	20	29	41	45	36
8		28	二	2	30	7	26	5	1	1	2	5	7	26	30	24
9		30	四	9	22	49	48	45	44	9	22	44	45	48	49	8
10		31	五	38	17	23	49	48	27	17	23	27	38	48	49	19
11	2	1	六	36	37	13	19	9	6	6	9	13	19	36	37	27
12		2	日	14	45	3	24	19	13	3	13	14	19	24	45	5
13		3	一	2	16	27	30	17	1	1	2	16	17	27	30	48
14		4	二	19	46	32	12	42	8	8	12	19	32	42	46	28
15		7	五	22	5	28	11	21	12	5	11	12	21	22	28	25
16		11	二	15	31	21	6	44	22	6	15	21	22	31	44	41
17		14	五	24	10	48	33	20	19	10	19	20	24	33	48	1
18		18	二	47	19	6	26	32	20	6	19	20	26	32	47	35
19		21	五	11	12	23	40	28	48	11	12	23	28	40	48	9
20		25	二	13	9	5	3	46	12	3	5	9	12	13	46	4
21		28	五	17	24	13	18	32	28	13	17	18	24	28	32	37
22	3	4	二	43	8	40	35	37	26	8	26	35	37	40	43	6
23		7	五	38	26	6	37	18	30	6	18	26	30	37	38	16
24		11	二	40	20	15	16	13	43	13	15	16	20	40	43	14
25		14	五	47	8	40	41	27	2	2	8	27	40	41	47	28
26		18	二	26	40	35	39	12	28	12	26	28	35	39	40	16
27		21	五	47	26	46	8	31	18	8	18	26	31	46	47	20
28		25	二	19	25	47	42	30	23	19	23	25	30	42	47	16
29		28	五	9	18	23	36	47	35	9	18	23	35	36	47	41
30	4	1	二	46	18	29	30	47	22	18	22	29	30	46	47	6
31		4	五	8	24	35	37	41	47	8	24	35	37	41	47	23
32		8	二	28	27	17	1	45	14	1	14	17	27	28	45	11
33		11	五	1	3	17	9	12	4	1	3	4	9	12	17	15
34		15	二	26	44	24	8	35	5	5	8	24	26	35	44	41
35		18	五	8	48	15	40	9	44	8	9	15	40	44	48	24
36		22	二	18	37	20	11	12	15	11	12	15	18	20	37	42
																
103																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
37	4	25	五	46	24	34	4	38	35	4	24	34	35	38	46	30
38		29	二	2	46	9	44	30	27	2	9	27	30	44	46	22
39	5	2	五	1	25	37	23	7	40	1	7	23	25	37	40	12
40		6	二	10	46	39	35	40	25	10	25	35	39	40	46	31
41		9	五	13	1	27	21	37	11	1	11	13	21	27	37	3
42		13	二	32	20	31	44	29	15	15	20	29	31	32	44	23
43		16	五	45	41	31	42	14	38	14	31	38	41	42	45	29
44		20	二	34	33	30	13	35	6	6	13	30	33	34	35	38
45		23	五	30	11	22	46	17	27	11	17	22	27	30	46	15
46		27	二	26	19	23	10	39	32	10	19	23	26	32	39	16
47		30	五	21	9	17	35	24	30	9	17	21	24	30	35	15
48	6	3	二	31	32	16	44	35	33	16	31	32	33	35	44	46
49		6	五	41	29	47	49	25	40	25	29	40	41	47	49	48
50		10	二	3	32	11	35	33	28	3	11	28	32	33	35	30
51		13	五	28	32	37	42	4	21	4	21	28	32	37	42	16
52		17	二	3	6	20	48	18	25	3	6	18	20	25	48	12
53		20	五	14	36	12	16	33	47	12	14	16	33	36	47	48
54		24	二	14	40	8	1	12	41	1	8	12	14	40	41	15
55		27	五	35	34	36	27	13	21	13	21	27	34	35	36	24
56	7	1	二	9	21	48	8	7	6	6	7	8	9	21	48	18
57		4	五	48	14	24	17	27	3	3	14	17	24	27	48	28
58		8	二	33	10	39	22	47	25	10	22	25	33	39	47	38
59		11	五	7	18	30	1	15	14	1	7	14	15	18	30	33
60		15	二	7	32	18	23	48	34	7	18	23	32	34	48	13
61		18	五	19	15	21	2	30	1	1	2	15	19	21	30	40
62		22	二	28	3	13	9	17	42	3	9	13	17	28	42	14
63		25	五	45	30	21	32	5	35	5	21	30	32	35	45	26
64		29	二	47	36	32	31	44	34	31	32	34	36	44	47	46
65	8	1	五	45	8	21	32	5	23	5	8	21	23	32	45	18
66		5	二	40	11	26	33	4	42	4	11	26	33	40	42	34
67		8	五	32	42	26	45	38	31	26	31	32	38	42	45	37
68		12	二	12	10	6	4	34	45	4	6	10	12	34	45	44
69		15	五	47	46	29	23	18	48	18	23	29	46	47	48	5
70		19	二	12	19	6	7	14	9	6	7	9	12	14	19	17
71		22	五	43	8	23	30	16	31	8	16	23	30	31	43	18
72		26	二	23	32	43	19	1	17	1	17	19	23	32	43	9
																
103																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
73	8	29	五	39	38	21	23	10	9	9	10	21	23	38	39	35
74	9	2	二	39	36	43	7	8	42	7	8	36	39	42	43	22
75		5	五	16	25	32	10	36	27	10	16	25	27	32	36	45
76		9	二	42	49	21	41	29	23	21	23	29	41	42	49	14
77		12	五	27	49	2	36	31	23	2	23	27	31	36	49	15
78		16	二	41	19	7	18	16	12	7	12	16	18	19	41	45
79		19	五	6	17	29	2	32	39	2	6	17	29	32	39	4
80		23	二	38	28	20	32	2	11	2	11	20	28	32	38	16
81		26	五	15	19	29	22	37	8	8	15	19	22	29	37	39
82		30	二	49	41	18	47	36	35	18	35	36	41	47	49	15
83	10	3	五	10	14	19	37	24	35	10	14	19	24	35	37	39
84		7	二	45	40	17	47	18	41	17	18	40	41	45	47	29
85		10	五	11	26	1	24	28	19	1	11	19	24	26	28	33
86		14	二	47	36	20	9	14	10	9	10	14	20	36	47	8
87		17	五	32	36	33	2	20	11	2	11	20	32	33	36	39
88		21	二	31	44	42	28	14	38	14	28	31	38	42	44	45
89		24	五	36	1	20	45	17	37	1	17	20	36	37	45	15
90		28	二	16	32	25	5	37	44	5	16	25	32	37	44	21
91		31	五	14	8	27	49	10	2	2	8	10	14	27	49	20
92	11	4	二	20	38	3	35	30	41	3	20	30	35	38	41	47
93		7	五	49	25	40	27	19	11	11	19	25	27	40	49	33
94		11	二	18	23	11	36	5	43	5	11	18	23	36	43	14
95		14	五	44	15	41	29	16	34	15	16	29	34	41	44	49
96		18	二	12	20	43	11	28	26	11	12	20	26	28	43	6
97		21	五	3	32	2	34	26	22	2	3	22	26	32	34	40
98		25	二	15	32	16	1	44	48	1	15	16	32	44	48	40
99		28	五	35	44	1	40	10	21	1	10	21	35	40	44	36
100	12	2	二	11	26	42	13	9	23	9	11	13	23	26	42	47
